trt	plot	time	resp
Burn	1	1	27
Burn	1	9	25
Burn	1	12	18
Burn	1	15	21
Burn	2	1	5
Burn	2	9	15
Burn	2	12	10
Burn	2	15	12
Burn	3	1	17
Burn	3	9	26
Burn	3	12	26
Burn	3	15	25
Burn	4	1	41
Burn	4	9	41
Burn	4	12	42
Burn	4	15	38
Burn	5	1	25
Burn	5	9	28
Burn	5	12	22
Burn	5	15	27
Burn	6	1	11
Burn	6	9	24
Burn	6	12	13
Burn	6	15	20
Burn	7	1	37
Burn	7	9	40
Burn	7	12	33
Burn	7	15	31
Burn	8	1	38
Burn	8	9	38
Burn	8	12	33
Burn	8	15	38
Burn	9	1	31
Burn	9	9	33
Burn	9	12	25
Burn	9	15	30
Unburn	10	1	57
Unburn	10	9	46
Unburn	10	12	49
Unburn	10	15	51
Unburn	11	1	43
Unburn	11	9	59
Unburn	11	12	59
Unburn	11	15	60
Unburn	12	1	43
Unburn	12	9	53
Unburn	12	12	52
Unburn	12	15	53
Unburn	13	1	59
Unburn	13	9	55
Unburn	13	12	59
Unburn	13	15	60
Unburn	14	1	42
Unburn	14	9	48
Unburn	14	12	50
Unburn	14	15	48
Unburn	15	1	35
Unburn	15	9	42
Unburn	15	12	50
Unburn	15	15	55
Unburn	16	1	40
Unburn	16	9	51
Unburn	16	12	53
Unburn	16	15	57
Unburn	17	1	24
Unburn	17	9	52
Unburn	17	12	54
Unburn	17	15	59
Unburn	18	1	42
Unburn	18	9	49
Unburn	18	12	50
Unburn	18	15	54
